appname,type,path,regex
Red Ball 4,Last Close Timestamp,com.FDGEntertainment.redball4.gp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
Remote,Remote Mac Addr,com.google.android.tv.remotecontrol.logging/sp/RANDOM_ID.xml,[1234567890ABCDEF]{2}\:[1234567890ABCDEF]{2}\:[1234567890ABCDEF]{2}\:[1234567890ABCDEF]{2}\:[1234567890ABCDEF]{2}\:[1234567890ABCDEF]{2}
Settings,Last Run Timestamp,com.google.android.apps.mediashell/sp/RecommendationsService.xml,(?<!\d)\d{13}(?!\d)
Tubi TV,Installation Timestamp,com.tubitv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Tubi TV,Links Visited,com.tubitv/r/app_webview/Default/Session Storage/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Tubi TV,Links Visited,com.tubitv/r/app_webview/Default/Local Storage/leveldb/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Tubi TV,Username,com.tubitv/sp/com.tubitv_preferences.xml,"[\n\r].*""pref_user_name"">\s*([^\n\r]*)"
Tubi TV,User Email,com.tubitv/sp/com.tubitv_preferences.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
TVWeb,Installation Timestamp,jp.co.rarity.tvweb/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
WebView,Last Run Timestamp,com.google.android.webview/sp/variations_prefs.xml,(?<!\d)\d{13}(?!\d)
WWE,Installation Timestamp,com.mlbam.wwe_asb_app/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
WWE,First Run Timestamp,com.mlbam.wwe_asb_app/sp/LicenceMetadata.xml,(?<!\d)\d{13}(?!\d)
WWE,Last Played Timestamp,com.mlbam.wwe_asb_app/sp/AppGeneral.xml,(?<!\d)\d{13}(?!\d)
